iter	RMSE
0	0.2767850572
1	0.2616279617
2	0.2486013078
3	0.2371109893
4	0.2272077071
5	0.2186458219
6	0.2113641456
7	0.2047926783
8	0.1989887093
9	0.1938849414
10	0.1897908925
11	0.1863942574
12	0.1833955978
13	0.1807543845
14	0.1784089412
15	0.1762201486
16	0.1741621815
17	0.1724569802
18	0.1710832179
19	0.1699400144
20	0.1688561163
21	0.1678478389
22	0.1669285026
23	0.1663575532
24	0.1655216028
25	0.1648624906
26	0.1643263546
27	0.163853068
28	0.1633173156
29	0.1629046248
30	0.162580997
31	0.1621336197
32	0.1617845961
33	0.1614206402
34	0.1610984998
35	0.1607175585
36	0.1604137623
37	0.1601745748
38	0.1599751509
39	0.159779691
40	0.159549972
41	0.1594330109
42	0.1593182846
43	0.1591248435
44	0.158904692
45	0.1586557299
46	0.1584643849
47	0.158261263
48	0.1581348903
49	0.1579968193
50	0.1578164862
51	0.1576712607
52	0.1575353609
53	0.1573715729
54	0.1572351005
55	0.1571209103
56	0.1570256059
57	0.1569111673
58	0.1568043597
59	0.156725904
60	0.1566151909
61	0.156494316
62	0.1563031761
63	0.1561873035
64	0.1561475998
65	0.1560460036
66	0.1559171455
67	0.1558077033
68	0.1557519753
69	0.1556141851
70	0.1554863125
71	0.1553795101
72	0.1552866825
73	0.1551839223
74	0.1551009807
75	0.1549705033
76	0.1549107967
77	0.1547750822
78	0.1547118318
79	0.1546139804
80	0.1545345124
81	0.1544677498
82	0.1544066334
83	0.1542469929
84	0.154093228
85	0.1540383755
86	0.1539081839
87	0.1537925473
88	0.1536506308
89	0.1535460302
90	0.1534885961
91	0.1534414052
92	0.1533244079
93	0.1532599603
94	0.1532029022
95	0.1531296627
96	0.1530396435
97	0.1529358735
98	0.1528555758
99	0.1527002211
100	0.1525839179
101	0.1525326333
102	0.1524727455
103	0.1524365637
104	0.1523236791
105	0.1522137787
106	0.1521179016
107	0.1520550946
108	0.1519836112
109	0.1519039475
110	0.151838592
111	0.1518015091
112	0.1517579778
113	0.1516803764
114	0.1516169486
115	0.1515585446
116	0.1514525638
117	0.1513557758
118	0.1512893553
119	0.1512606199
120	0.1511757563
121	0.1510761365
122	0.1509848814
123	0.1509144092
124	0.1508549803
125	0.1507704703
126	0.1507039705
127	0.1505868958
128	0.1505449574
129	0.1504801647
130	0.1504107302
131	0.1503539574
132	0.1503044955
133	0.1502377176
134	0.1501805856
135	0.1501340435
136	0.1500525499
137	0.1499998117
138	0.1499089499
139	0.149866505
140	0.1497790936
141	0.1497390553
142	0.1496974867
143	0.1496358117
144	0.1495509094
145	0.1494826591
146	0.1494414988
147	0.1493820069
148	0.1492962915
149	0.1492222285
150	0.149189189
151	0.1491294795
152	0.1490831996
153	0.1490089216
154	0.1489647633
155	0.1488780021
156	0.1488220404
157	0.1487564943
158	0.1486911724
159	0.1485915828
160	0.148543849
161	0.1484802965
162	0.1484208748
163	0.1483430095
164	0.1483072384
165	0.1482157122
166	0.1481383299
167	0.1480984679
168	0.1480473081
169	0.1479953888
170	0.1479321263
171	0.1478742559
172	0.147841431
173	0.1477826463
174	0.1477136389
175	0.1476823474
176	0.1476499073
177	0.1476214794
178	0.1475495397
179	0.1475066764
180	0.1474615572
181	0.1474243505
182	0.1473674123
183	0.1473213557
184	0.1472797266
185	0.1472244197
186	0.1472116286
187	0.1471818377
188	0.1471019739
189	0.1470267326
190	0.1469715087
191	0.1469043985
192	0.1468435563
193	0.1467820798
194	0.1466880859
195	0.1466247721
196	0.1466012752
197	0.1465704694
198	0.1465553863
199	0.1465170463
200	0.1464805556
201	0.1464347193
202	0.1463784382
203	0.1463236554
204	0.1462528383
205	0.1462062304
206	0.1461572239
207	0.1461298343
208	0.146097407
209	0.1460084511
210	0.1459659661
211	0.1459035643
212	0.1458590539
213	0.1458289591
214	0.1458063228
215	0.1457374359
216	0.145706919
217	0.1456735817
218	0.1456449563
219	0.145588022
220	0.145524794
221	0.1454796103
222	0.1454183745
223	0.1453710275
224	0.1453411125
225	0.1452771442
226	0.1452437224
227	0.1452181177
228	0.1451908141
229	0.1451503358
230	0.1451064312
231	0.1450893768
232	0.1450586733
233	0.1449950116
234	0.1449488958
235	0.1448844119
236	0.1448413626
237	0.1448030212
238	0.1447768059
239	0.1447096798
240	0.1446380798
241	0.1445857544
242	0.1445645019
243	0.14453509
244	0.144494834
245	0.1444613917
246	0.1444140298
247	0.1443497608
248	0.1443192329
249	0.1442911884
250	0.1442657626
251	0.144220714
252	0.1441706567
253	0.1441249664
254	0.1440708517
255	0.1440245256
256	0.1439559056
257	0.1439112096
258	0.1438669175
259	0.1438505558
260	0.1437765248
261	0.1437404971
262	0.1437132964
263	0.1436783924
264	0.1436290803
265	0.1435822254
266	0.1435288089
267	0.1434943409
268	0.1434757968
269	0.1434419961
270	0.1434040029
271	0.1433394677
272	0.1433125207
273	0.1432724496
274	0.1432308487
275	0.1431952043
276	0.1431463075
277	0.1431196942
278	0.143083901
279	0.1430440749
280	0.1430069083
281	0.1429686326
282	0.1428963675
283	0.1428607659
284	0.1428317639
285	0.1427641894
286	0.1427375709
287	0.1427165717
288	0.1426441033
289	0.14261346
290	0.1425723087
291	0.1425307405
292	0.1425159426
293	0.1424949009
294	0.1424554508
295	0.142418747
296	0.1424001735
297	0.1423804377
298	0.1423363764
299	0.1423284932
300	0.1423165213
301	0.1422912216
302	0.1422591813
303	0.1422365539
304	0.1422144395
305	0.1421795118
306	0.1421142832
307	0.1420372242
308	0.1419766336
309	0.1419590118
310	0.1419157001
311	0.1418831257
312	0.1418498318
313	0.1418018765
314	0.1417801981
315	0.1417540971
316	0.1417184796
317	0.1416555223
318	0.1416176262
319	0.1415924753
320	0.1415865484
321	0.1415639861
322	0.1415468769
323	0.141543876
324	0.1415284315
325	0.1415126257
326	0.1414703829
327	0.1414169827
328	0.1413914777
329	0.1413788294
330	0.1413596446
331	0.1413344819
332	0.1412969305
333	0.1412614283
334	0.1412049471
335	0.1411405014
336	0.1411368484
337	0.1410728488
338	0.1410647409
339	0.1410605386
340	0.141028215
341	0.1409838171
342	0.1409402157
343	0.1409132425
344	0.1408676751
345	0.1408446756
346	0.1408028312
347	0.1407689545
348	0.1407057949
349	0.1406696048
350	0.140597791
351	0.1405640144
352	0.1405411449
353	0.140522995
354	0.1404913894
355	0.1404718123
356	0.1404326055
357	0.1403942468
358	0.1403479615
359	0.1403116735
360	0.1402897282
361	0.1402413208
362	0.1401998321
363	0.1401720452
364	0.1401398477
365	0.1401319576
366	0.1400657541
367	0.1400396818
368	0.1400104352
369	0.1399849438
370	0.1399373797
371	0.1399195186
372	0.1398797317
373	0.1398251751
374	0.1398092362
375	0.1397866954
376	0.1397758916
377	0.139749037
378	0.139679158
379	0.1396554028
380	0.1396313162
381	0.1396139437
382	0.1395967055
383	0.1395290079
384	0.1395227933
385	0.1394802264
386	0.139442925
387	0.1394055416
388	0.1393565929
389	0.1393027185
390	0.1392736929
391	0.1392217884
392	0.1391884587
393	0.1391694312
394	0.1391541717
395	0.1391172266
396	0.1390872863
397	0.1390536481
398	0.1390411009
399	0.1390100811
400	0.138968264
401	0.1389489639
402	0.1389216858
403	0.1389051155
404	0.1388658173
405	0.1388272067
406	0.1387884371
407	0.1387800828
408	0.1387234151
409	0.1387009836
410	0.138684502
411	0.1386682188
412	0.1386333994
413	0.1386211461
414	0.1386022347
415	0.1385233712
416	0.1384875604
417	0.1384138861
418	0.1383471186
419	0.138282539
420	0.1382309824
421	0.1381967004
422	0.1381380867
423	0.138109687
424	0.1381007248
425	0.1380840874
426	0.1380286877
427	0.1379598235
428	0.1379412597
429	0.1378905548
430	0.1378573688
431	0.1378371997
432	0.1377845459
433	0.1377399274
434	0.1377236936
435	0.1377151439
436	0.1376967217
437	0.1376699562
438	0.1376410322
439	0.1376269434
440	0.1376031785
441	0.1375348757
442	0.1375013404
443	0.1374722451
444	0.1374418208
445	0.1374380004
446	0.1373901873
447	0.1373617529
448	0.1373333302
449	0.13732082
450	0.1373052901
451	0.1372633532
452	0.1372403392
453	0.1372225143
454	0.1371890013
455	0.1371661127
456	0.1371343268
457	0.1371101734
458	0.1370981237
459	0.1370217564
460	0.1369952757
461	0.1369820122
462	0.136956831
463	0.1369252708
464	0.1368716433
465	0.136824705
466	0.1367849442
467	0.1367780834
468	0.136720984
469	0.1366989496
470	0.1366418046
471	0.1365958678
472	0.1365607012
473	0.1365199187
474	0.1364814374
475	0.1364505229
476	0.1363800592
477	0.1363277357
478	0.1362724809
479	0.1362387049
480	0.1362001779
481	0.1361511472
482	0.1361365029
483	0.1360658449
484	0.1360125462
485	0.1359641985
486	0.1359435137
487	0.1359019922
488	0.1358811815
489	0.135855945
490	0.1358188004
491	0.1357755207
492	0.1357683566
493	0.1357276039
494	0.135710234
495	0.1356672264
496	0.1356367479
497	0.1356308013
498	0.1356024249
499	0.13559022
500	0.1355755303
501	0.1355716012
502	0.1355454623
503	0.1355269828
504	0.1355131831
505	0.1355008997
506	0.1354907933
507	0.1354345244
508	0.1353987221
509	0.1353764586
510	0.1353339843
511	0.1353157484
512	0.1352993802
513	0.1352524945
514	0.1352355757
515	0.1352096551
516	0.1351519451
517	0.1350925213
518	0.1350807328
519	0.1350421846
520	0.135029481
521	0.1349898259
522	0.1349648331
523	0.1349399818
524	0.13492729
