iter	Passed	Remaining
0	281	281023
1	420	209703
2	529	176007
3	641	159727
4	736	146484
5	846	140287
6	923	130949
7	1032	128076
8	1115	122825
9	1208	119617
10	1292	116243
11	1393	114720
12	1485	112751
13	1566	110301
14	1659	108966
15	1767	108704
16	1860	107597
17	1954	106622
18	2059	106326
19	2151	105411
20	2279	106282
21	2382	105931
22	2474	105128
23	2565	104325
24	2664	103921
25	2744	102803
26	2882	103872
27	3026	105073
28	3125	104638
29	3273	105842
30	3382	105724
31	3465	104818
32	3562	104378
33	3660	103989
34	3784	104330
35	3879	103874
36	3980	103588
37	4084	103410
38	4180	103008
39	4279	102717
40	4439	103838
41	4545	103682
42	4706	104753
43	4831	104967
44	4945	104960
45	5079	105350
46	5193	105311
47	5320	105531
48	5454	105853
49	5562	105685
50	5668	105469
51	5877	107149
52	6002	107255
53	6162	107949
54	6288	108048
55	6453	108793
56	6560	108539
57	6663	108217
58	6849	109247
59	7061	110630
60	7186	110619
61	7288	110261
62	7430	110509
63	7550	110431
64	7680	110477
65	7813	110569
66	7984	111181
67	8102	111045
68	8294	111922
69	8407	111698
70	8520	111481
71	8626	111181
72	8713	110648
73	8825	110439
74	8938	110241
75	9054	110083
76	9120	109328
77	9225	109047
78	9344	108936
79	9458	108772
80	9557	108430
81	9675	108320
82	9810	108383
83	9976	108796
84	10090	108624
85	10209	108504
86	10318	108280
87	10419	107984
88	10547	107968
89	10662	107812
90	10780	107686
91	10882	107400
92	10977	107060
93	11065	106649
94	11151	106234
95	11254	105981
96	11354	105705
97	11461	105496
98	11552	105135
99	11642	104786
100	11738	104487
101	11837	104219
102	11927	103877
103	12039	103729
104	12122	103332
105	12210	102984
106	12282	102505
107	12367	102142
108	12459	101848
109	12546	101508
110	12643	101264
111	12752	101107
112	12857	100922
113	12945	100608
114	13045	100390
115	13138	100128
116	13228	99832
117	13347	99769
118	13434	99462
119	13518	99138
120	13612	98887
121	13709	98663
122	13836	98656
123	13965	98662
124	14060	98422
125	14138	98075
126	14245	97924
127	14343	97714
128	14454	97594
129	14576	97548
130	14668	97305
131	14880	97847
132	14978	97639
133	15141	97856
134	15230	97587
135	15335	97424
136	15434	97229
137	15549	97128
138	15693	97207
139	15839	97300
140	15995	97450
141	16128	97451
142	16261	97457
143	16382	97387
144	16495	97264
145	16603	97121
146	16701	96913
147	16919	97400
148	17047	97367
149	17174	97320
150	17303	97290
151	17423	97205
152	17528	97037
153	17635	96881
154	17767	96863
155	17948	97105
156	18061	96979
157	18191	96944
158	18303	96810
159	18409	96652
160	18510	96464
161	18614	96287
162	18717	96113
163	18841	96045
164	18966	95984
165	19056	95743
166	19165	95599
167	19260	95385
168	19364	95216
169	19474	95083
170	19570	94878
171	19652	94604
172	19747	94399
173	19828	94128
174	19915	93888
175	20029	93776
176	20137	93632
177	20239	93466
178	20341	93299
179	20461	93213
180	20554	93004
181	20664	92878
182	20761	92688
183	20860	92510
184	20947	92283
185	21048	92117
186	21140	91910
187	21243	91753
188	21334	91544
189	21431	91367
190	21539	91233
191	21635	91047
192	21727	90849
193	21888	90939
194	21983	90751
195	22069	90529
196	22179	90406
197	22272	90214
198	22361	90006
199	22458	89832
200	22570	89718
201	22671	89563
202	22771	89403
203	22858	89193
204	22947	88993
205	23045	88823
206	23136	88632
207	23236	88476
208	23339	88333
209	23430	88144
210	23524	87965
211	23610	87758
212	23708	87600
213	23812	87461
214	23923	87347
215	24025	87202
216	24145	87123
217	24259	87023
218	24349	86836
219	24452	86693
220	24548	86530
221	24648	86380
222	24755	86254
223	24847	86079
224	24945	85923
225	25051	85796
226	25155	85662
227	25255	85515
228	25363	85393
229	25467	85259
230	25573	85133
231	25726	85162
232	25840	85062
233	25942	84922
234	26056	84823
235	26163	84697
236	26282	84613
237	26383	84473
238	26475	84301
239	26580	84172
240	26699	84088
241	26834	84053
242	26951	83961
243	27069	83872
244	27174	83740
245	27263	83564
246	27375	83455
247	27479	83323
248	27592	83221
249	27698	83095
250	27833	83057
251	27935	82921
252	28085	82924
253	28215	82868
254	28327	82761
255	28423	82605
256	28529	82479
257	28642	82373
258	28849	82537
259	28975	82469
260	29070	82311
261	29155	82123
262	29263	82005
263	29365	81866
264	29453	81692
265	29552	81546
266	29644	81382
267	29765	81298
268	29868	81166
269	30008	81132
270	30124	81036
271	30217	80875
272	30321	80745
273	30437	80648
274	30520	80463
275	30627	80342
276	30874	80586
277	31004	80523
278	31140	80473
279	31258	80377
280	31374	80278
281	31482	80156
282	31596	80052
283	31720	79971
284	31842	79884
285	31995	79876
286	32128	79817
287	32237	79697
288	32342	79570
289	32447	79440
290	32555	79320
291	32676	79229
292	32859	79289
293	33053	79372
294	33160	79247
295	33270	79128
296	33366	78978
297	33466	78837
298	33573	78711
299	33707	78651
300	33846	78600
301	33948	78462
302	34037	78297
303	34123	78125
304	34286	78128
305	34391	77999
306	34479	77831
307	34566	77661
308	34673	77538
309	34789	77434
310	34887	77289
311	34985	77147
312	35079	76995
313	35201	76904
314	35316	76800
315	35414	76656
316	35517	76526
317	35615	76383
318	35720	76256
319	35813	76103
320	35919	75979
321	36016	75836
322	36150	75770
323	36329	75799
324	36450	75704
325	36562	75593
326	36666	75464
327	36759	75311
328	36844	75145
329	37024	75170
330	37137	75061
331	37254	74957
332	37390	74893
333	37530	74837
334	37656	74750
335	37782	74665
336	37932	74625
337	38058	74541
338	38180	74445
339	38407	74555
340	38572	74543
341	38698	74454
342	38838	74392
343	38958	74293
344	39069	74176
345	39212	74118
346	39363	74076
347	39543	74087
348	39664	73987
349	39796	73906
350	39929	73830
351	40055	73738
352	40160	73607
353	40322	73583
354	40494	73574
355	40623	73486
356	40748	73392
357	40879	73309
358	41029	73258
359	41134	73128
360	41248	73012
361	41344	72867
362	41466	72765
363	41591	72671
364	41708	72562
365	41824	72449
366	41910	72286
367	42034	72189
368	42192	72150
369	42308	72039
370	42407	71897
371	42526	71792
372	42645	71685
373	42746	71548
374	42843	71405
375	42934	71253
376	43042	71129
377	43128	70968
378	43226	70828
379	43365	70754
380	43462	70611
381	43567	70484
382	43668	70349
383	43773	70219
384	43861	70064
385	43957	69922
386	44053	69780
387	44150	69638
388	44245	69495
389	44345	69360
390	44440	69218
391	44550	69099
392	44666	68988
393	44782	68878
394	44888	68753
395	45010	68652
396	45109	68516
397	45200	68368
398	45334	68286
399	45437	68156
400	45563	68060
401	45681	67953
402	45789	67832
403	45893	67704
404	45998	67577
405	46091	67434
406	46195	67307
407	46302	67184
408	46400	67048
409	46515	66937
410	46651	66856
411	46795	66785
412	46912	66676
413	47082	66643
414	47237	66588
415	47385	66522
416	47534	66457
417	47698	66412
418	47807	66291
419	47982	66260
420	48101	66153
421	48232	66062
422	48353	65958
423	48474	65851
424	48621	65781
425	48758	65698
426	48898	65618
427	49022	65516
428	49157	65428
429	49294	65343
430	49397	65213
431	49496	65079
432	49642	65004
433	50019	65232
434	50187	65186
435	50342	65121
436	50446	64991
437	50590	64913
438	50762	64870
439	50932	64822
440	51066	64730
441	51174	64604
442	51292	64492
443	51410	64378
444	51550	64293
445	51653	64161
446	51812	64099
447	51967	64030
448	52122	63963
449	52267	63882
450	52385	63768
451	52506	63658
452	52627	63547
453	52776	63471
454	52907	63372
455	53016	63248
456	53130	63129
457	53252	63019
458	53367	62901
459	53483	62785
460	53632	62707
461	53786	62635
462	53881	62493
463	53987	62365
464	54108	62253
465	54212	62122
466	54305	61980
467	54413	61854
468	54509	61715
469	54594	61564
470	54692	61427
471	54791	61292
472	54883	61148
473	55003	61037
474	55146	60951
475	55247	60818
476	55343	60681
477	55464	60569
478	55559	60431
479	55675	60315
480	55791	60199
481	55882	60056
482	55986	59927
483	56081	59789
484	56167	59641
485	56280	59523
486	56396	59407
487	56497	59275
488	56594	59141
489	56692	59006
490	56796	58878
491	56940	58791
492	57031	58650
493	57122	58510
494	57268	58425
495	57380	58305
496	57476	58169
497	57595	58057
498	57708	57939
499	57806	57806
500	57910	57679
501	58036	57574
502	58154	57461
503	58258	57333
504	58386	57230
505	58515	57127
506	58642	57022
507	58740	56890
508	58838	56757
509	58936	56625
510	59064	56521
511	59176	56402
512	59284	56279
513	59382	56147
514	59505	56038
515	59624	55927
516	59737	55809
517	59821	55664
518	59937	55548
519	60052	55433
520	60150	55301
521	60258	55178
522	60355	55047
523	60479	54939
524	60583	54813
525	60695	54695
526	60793	54564
527	60878	54421
528	60991	54304
529	61096	54179
530	61196	54051
531	61287	53914
532	61385	53784
533	61470	53642
534	61555	53501
535	61687	53400
536	61803	53286
537	61899	53155
538	61987	53017
539	62068	52872
540	62164	52742
541	62270	52619
542	62364	52487
543	62462	52358
544	62570	52237
545	62656	52098
546	62762	51977
547	62844	51835
548	62938	51703
549	63035	51574
550	63131	51444
551	63223	51311
552	63309	51173
553	63404	51044
554	63503	50917
555	63593	50783
556	63701	50663
557	63805	50541
558	63919	50426
559	64005	50289
560	64106	50165
561	64202	50036
562	64292	49904
563	64380	49769
564	64487	49649
565	64583	49521
566	64694	49404
567	64787	49275
568	64891	49153
569	65023	49052
570	65160	48956
571	65266	48835
572	65355	48703
573	65443	48569
574	65543	48445
575	65632	48312
576	65739	48194
577	65842	48071
578	65969	47967
579	66046	47826
580	66153	47707
581	66246	47579
582	66341	47451
583	66464	47344
584	66572	47226
585	66666	47098
586	66762	46972
587	66861	46848
588	66960	46724
589	67044	46590
590	67140	46464
591	67247	46346
592	67342	46219
593	67447	46100
594	67537	45971
595	67623	45838
596	67737	45725
597	67823	45593
598	67951	45490
599	68051	45367
600	68172	45259
601	68266	45132
602	68359	45006
603	68476	44895
604	68589	44781
605	68853	44766
606	68979	44660
607	69086	44542
608	69209	44435
609	69317	44317
610	69437	44208
611	69560	44100
612	69781	44054
613	69902	43945
614	70042	43847
615	70164	43738
616	70301	43639
617	70426	43531
618	70539	43417
619	70748	43362
620	70986	43323
621	71136	43231
622	71263	43124
623	71395	43020
624	71529	42917
625	71690	42831
626	71816	42723
627	71925	42605
628	72065	42506
629	72182	42392
630	72312	42287
631	72454	42188
632	72574	42077
633	72721	41981
634	72846	41872
635	72968	41762
636	73093	41652
637	73200	41534
638	73296	41408
639	73394	41284
640	73503	41166
641	73601	41042
642	73715	40927
643	73828	40812
644	73950	40701
645	74080	40595
646	74188	40476
647	74303	40362
648	74410	40243
649	74508	40119
650	74611	39999
651	74771	39908
652	74857	39778
653	74969	39662
654	75073	39542
655	75195	39431
656	75314	39319
657	75423	39202
658	75530	39083
659	75649	38970
660	75755	38851
661	75851	38727
662	75952	38606
663	76070	38493
664	76180	38376
665	76283	38256
666	76382	38134
667	76507	38024
668	76639	37918
669	76749	37801
670	76876	37693
671	76972	37569
672	77059	37441
673	77169	37325
674	77297	37217
675	77405	37099
676	77542	36995
677	77671	36888
678	77785	36773
679	77897	36657
680	78031	36552
681	78141	36435
682	78256	36321
683	78375	36208
684	78500	36098
685	78622	35987
686	78735	35872
687	78882	35772
688	79013	35665
689	79157	35563
690	79274	35449
691	79397	35338
692	79508	35222
693	79677	35131
694	79875	35053
695	79996	34941
696	80135	34836
697	80274	34731
698	80437	34637
699	80552	34522
700	80688	34416
701	80798	34299
702	80919	34186
703	81048	34077
704	81162	33961
705	81299	33855
706	81438	33750
707	81563	33639
708	81683	33525
709	81782	33403
710	81897	33288
711	82045	33186
712	82176	33078
713	82288	32961
714	82402	32845
715	82501	32724
716	82629	32613
717	82758	32504
718	82882	32392
719	82992	32274
720	83119	32164
721	83250	32054
722	83400	31952
723	83503	31832
724	83614	31715
725	83738	31603
726	83849	31486
727	83953	31367
728	84057	31247
729	84160	31127
730	84262	31007
